subject,subject_type,relation,object,object_type,date
badan pengelola investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,Meningkatkan,program utama,KONSEP,2025-03-07 05:15:00
prabowo subianto,ORANG,BeroperasiDi,istana kepresidenan,KOTA,2025-03-07 05:15:00
prabowo,ORANG,Mempengaruhi,industri tekstil,SEKTOR,2025-03-07 04:43:00
pemerintah,PEMERINTAHAN,BeroperasiDi,industri dalam negeri,SEKTOR,2025-03-07 04:43:00
prabowo subianto,ORANG,Mengumumkan,delapan pengusaha besar,ORGANISASI,2025-03-07 04:43:00
pemerintah,PEMERINTAHAN,Meningkatkan,daya saing industri,INDIKATOR_EKONOMI,2025-03-07 04:43:00
pemerintah,PEMERINTAHAN,BerdampakPositif,kesejahteraan masyarakat,KONSEP,2025-03-07 04:43:00
pertemuan,EVENT,Mengaitkan,pemerintah,PEMERINTAHAN,2025-03-07 04:43:00
emas,PRODUK,Memiliki,nilai,INDIKATOR_EKONOMI,2025-03-06 18:56:00
emas,PRODUK,Menghasilkan,pelindung nilai,KONSEP,2025-03-06 18:56:00
emas,PRODUK,BerdampakPositif,investasi,KONSEP,2025-03-06 18:56:00
inflasi,INDIKATOR_EKONOMI,Mempengaruhi,harga emas,INSTRUMEN_FINANSIAL,2025-03-06 18:56:00
emas,PRODUK,Memperkenalkan,metode investasi,KONSEP,2025-03-06 18:56:00
prinsip 40/30/20/10,KONSEP,Mempengaruhi,mengatur keuangan,KONSEP,2025-03-06 12:28:00
prinsip 40/30/20/10,KONSEP,Mengaitkan,pendapatan bulanan,INDIKATOR_EKONOMI,2025-03-06 12:28:00
bunga zainal,ORANG,Mengumumkan,laporan investasi bodong,KONSEP,2025-03-06 12:06:00
polda metro jaya,BADAN_REGULATOR,BeroperasiDi,kasus investasi bodong,KONSEP,2025-03-06 12:06:00
bank,ORGANISASI,BerinvestasiDi,pencairan kredit,KONSEP,2025-03-06 11:38:00
dwi rahayu,ORANG,BeroperasiDi,persit kodim 0709/kebumen,ORGANISASI,2025-03-06 11:38:00
dwi rahayu,ORANG,Mengumumkan,penawaran investasi,KONSEP,2025-03-06 11:38:00
soimah,ORANG,Meningkatkan,kerugian,INDIKATOR_EKONOMI,2025-03-06 11:38:00
parit indah permai,PRODUK,BeroperasiDi,toboali,KOTA,2025-03-06 09:00:00
mahoni residence,PRODUK,BeroperasiDi,toboali,KOTA,2025-03-06 09:00:00
sistem informasi kumpulan pengembang,KONSEP,Mengaitkan,kabupaten bangka selatan,WILAYAH,2025-03-06 09:00:00
gading permai 2,PRODUK,BeroperasiDi,toboali,KOTA,2025-03-06 09:00:00
pt bank syariah indonesia tbk,PERUSAHAAN,Meningkatkan,jumlah nasabah,INDIKATOR_EKONOMI,2025-03-06 05:40:00
mckinsey,ORGANISASI,Mengaitkan,kajian,KONSEP,2025-03-06 05:40:00
indonesia,NEGARA,Memiliki,potensi cadangan emas,INDIKATOR_EKONOMI,2025-03-06 05:40:00
bsi,PERUSAHAAN,Memiliki,tenaga profesional penaksir emas,ORANG,2025-03-06 05:40:00
bsi atm emas,PRODUK,Berpartisipasi,indonesia,NEGARA,2025-03-06 05:40:00
pt bank syariah indonesia tbk,PERUSAHAAN,Mengumumkan,bsi atm emas,PRODUK,2025-03-06 05:40:00
pt bank syariah indonesia tbk,PERUSAHAAN,Mengumumkan,bsi gold,PRODUK,2025-03-06 05:40:00
pt bank syariah indonesia tbk,PERUSAHAAN,Mengumumkan,bsi emas digital,PRODUK,2025-03-06 05:40:00
pt bank syariah indonesia tbk,PERUSAHAAN,Mengumumkan,bisnis bank emas,KONSEP,2025-03-06 05:40:00
pt bank syariah indonesia tbk,PERUSAHAAN,Mengumumkan,biaya penitipan emas,KONSEP,2025-03-06 05:40:00
bsi atm emas,PRODUK,Memiliki,bank emas,KONSEP,2025-03-06 05:40:00
tabungan emas,PRODUK,BerdampakPositif,nasabah yang ingin berinvestasi secara bertahap,KONSEP,2025-03-05 23:04:00
emas,INSTRUMEN_FINANSIAL,Memiliki,stabilitas nilai,KONSEP,2025-03-05 23:04:00
etf berbasis indeks,INSTRUMEN_FINANSIAL,BerinvestasiDi,saham,PRODUK,2025-03-05 22:40:00
saham,PRODUK,Memiliki,risiko,KONSEP,2025-03-05 22:40:00
ojk,BADAN_REGULATOR,Mengumumkan,tekanan saham perbankan,INDIKATOR_EKONOMI,2025-03-05 22:40:00
reksa dana indeks,INSTRUMEN_FINANSIAL,BerinvestasiDi,saham,PRODUK,2025-03-05 22:40:00
saham,PRODUK,Memiliki,akses pendapatan dan aset,KONSEP,2025-03-05 22:40:00
saham,PRODUK,Mempengaruhi,kekayaan,KONSEP,2025-03-05 22:40:00
lakuemas,PERUSAHAAN,Mengendalikan,ekosistem emas,KONSEP,2025-03-05 21:12:00
lakuemas,PERUSAHAAN,BeroperasiDi,pasar emas nasional,KONSEP,2025-03-05 21:12:00
lakuemas,PERUSAHAAN,Meningkatkan,komitmen,KONSEP,2025-03-05 21:12:00
lakuemas,PERUSAHAAN,BerinvestasiDi,sektor emas,SEKTOR,2025-03-05 21:12:00
lakuemas,PERUSAHAAN,Mengumumkan,atm emas,KONSEP,2025-03-05 21:12:00
lakuemas,PERUSAHAAN,Berpartisipasi,acara peluncuran bank emas,EVENT,2025-03-05 21:12:00
bullion bank,BADAN_REGULATOR,Mengaitkan,kegiatan lainnya,KONSEP,2025-03-05 21:12:00
bullion bank,BADAN_REGULATOR,Mengaitkan,penitipan emas,KONSEP,2025-03-05 21:12:00
bullion bank,BADAN_REGULATOR,Mengaitkan,perdagangan emas,KONSEP,2025-03-05 21:12:00
bullion bank,BADAN_REGULATOR,Mengaitkan,pendanaan emas,KONSEP,2025-03-05 21:12:00
bullion bank,BADAN_REGULATOR,Memiliki,manfaat,KONSEP,2025-03-05 21:12:00
bullion bank,BADAN_REGULATOR,Mengumumkan,layanan bullion bank,KONSEP,2025-03-05 21:12:00
belitung island residence,PRODUK,Memiliki,119 unit,PRODUK,2025-03-05 21:00:00
perumahan kebun jeruk residence,PRODUK,Memiliki,167 rumah,PRODUK,2025-03-05 21:00:00
kabupaten belitung,KOTA,Memiliki,rumah subsidi,PRODUK,2025-03-05 21:00:00
pelangi residence,PRODUK,Memiliki,175 rumah,PRODUK,2025-03-05 21:00:00
kabupaten belitung,KOTA,Mempengaruhi,calon pemilik rumah,KONSEP,2025-03-05 21:00:00
mckinsey global wealth 2023,KONSEP,Mengumumkan,86 persen individu high-net-worth (hnw),ORANG,2025-03-05 19:48:00
boston consulting group (bcg) wealth report 2022,KONSEP,Mengumumkan,"pertumbuhan aset keuangan global sebesar 5,3 persen per tahun hingga 2025",INDIKATOR_EKONOMI,2025-03-05 19:48:00
sun life asia,PERUSAHAAN,Menghasilkan,studi retirement reimagined 2024,KONSEP,2025-03-05 19:48:00
octavianus ariwan,ORANG,Mengumumkan,diversifikasi investasi,KONSEP,2025-03-05 19:48:00
sun life indonesia,PERUSAHAAN,Memperkenalkan,asuransi x-tra wealth link,PRODUK,2025-03-05 19:48:00
sun life indonesia,PERUSAHAAN,Memperkenalkan,asuransi x-tra invest assurance,PRODUK,2025-03-05 19:48:00
cimb niaga,PERUSAHAAN,Mengumumkan,solusi keuangan,KONSEP,2025-03-05 19:48:00
2 tersangka,ORANG,BeroperasiDi,investasi bodong,KONSEP,2025-03-05 19:30:00
bunga zainal,ORANG,BerdampakNegatif,penipuan,KONSEP,2025-03-05 19:30:00
bunga zainal,ORANG,Mengumumkan,kesaksian,KONSEP,2025-03-05 19:30:00
2 tersangka,ORANG,BerdampakNegatif,bunga zainal,ORANG,2025-03-05 19:30:00
investasi bodong,KONSEP,Mempengaruhi,2 tersangka,ORANG,2025-03-05 19:30:00
sektor swasta,SEKTOR,Berpartisipasi,pembangunan ikn,PRODUK,2025-03-05 16:50:00
pt puri persada lampung,PERUSAHAAN,BerinvestasiDi,gedung perkantoran,PRODUK,2025-03-05 16:50:00
pt vitka delifood,PERUSAHAAN,BerinvestasiDi,tenant food and beverage,PRODUK,2025-03-05 16:50:00
pt citadel group indonesia (malaysia),PERUSAHAAN,BerinvestasiDi,hunian townhouse dan mixed use,PRODUK,2025-03-05 16:50:00
pt makmur berkah hotel,PERUSAHAAN,BerinvestasiDi,hotel bertaraf internasional,PRODUK,2025-03-05 16:50:00
universitas negeri surabaya,PERUSAHAAN,BerinvestasiDi,kampus pdsu,PRODUK,2025-03-05 16:50:00
perusahaan,PERUSAHAAN,BerinvestasiDi,groundbreaking ke-9,EVENT,2025-03-05 16:50:00
badan usaha milik negara (bumn),BADAN_REGULATOR,Berpartisipasi,pembangunan ikn,PRODUK,2025-03-05 16:50:00
kementerian pekerjaan umum,PEMERINTAHAN,Berpartisipasi,pembangunan ikn,PRODUK,2025-03-05 16:50:00
otorita ikn,ORGANISASI,Berpartisipasi,pembangunan ikn,PRODUK,2025-03-05 16:50:00
rencana pembangunan jangka menengah nasional,KONSEP,Meningkatkan,pertumbuhan tinggi yang berkelanjutan,INDIKATOR_EKONOMI,2025-03-05 16:50:00
rencana pembangunan jangka menengah nasional,KONSEP,Meningkatkan,kualitas sumber daya manusia,INDIKATOR_EKONOMI,2025-03-05 16:50:00
rencana pembangunan jangka menengah nasional,KONSEP,Meningkatkan,tingkat kemiskinan,INDIKATOR_EKONOMI,2025-03-05 16:50:00
peraturan presiden nomor 12 tahun 2025,KONSEP,Mengaitkan,rencana pembangunan jangka menengah nasional,KONSEP,2025-03-05 16:50:00
proyek ibu kota nusantara,PRODUK,BeroperasiDi,pemerintahan sebelumnya,PEMERINTAHAN,2025-03-05 16:50:00
proyek ibu kota nusantara,PRODUK,Memiliki,daftar proyek strategis nasional,PRODUK,2025-03-05 16:50:00
prabowo subianto,ORANG,Mengumumkan,proyek ibu kota nusantara,PRODUK,2025-03-05 16:50:00
bunga zainal,ORANG,BerinvestasiDi,investasi bodong,KONSEP,2025-03-05 16:03:00
investasi bodong,KONSEP,Mengaitkan,polda metro jaya,BADAN_REGULATOR,2025-03-05 16:03:00
kijang seraya,PRODUK,Memiliki,275 rumah tapak,PRODUK,2025-03-05 08:00:00
permata indah 1,PRODUK,Menghasilkan,harga per unit rp 135 juta,INSTRUMEN_FINANSIAL,2025-03-05 08:00:00
permata indah 1,PRODUK,Memiliki,luas tanah 96 meter persegi,INDIKATOR_EKONOMI,2025-03-05 08:00:00
permata indah 1,PRODUK,Memiliki,luas bangunan 36 meter persegi,INDIKATOR_EKONOMI,2025-03-05 08:00:00
permata indah 1,PRODUK,Memiliki,93 rumah,PRODUK,2025-03-05 08:00:00
kijang seraya,PRODUK,Menghasilkan,harga rp 126 juta,INSTRUMEN_FINANSIAL,2025-03-05 08:00:00
kijang seraya,PRODUK,Memiliki,luas lahan 78 meter persegi,INDIKATOR_EKONOMI,2025-03-05 08:00:00
kijang seraya,PRODUK,Memiliki,luas bangunan 36 meter persegi,INDIKATOR_EKONOMI,2025-03-05 08:00:00
perumnas baru bumi tanjung permai,PRODUK,Memiliki,luas lahan 84 meter persegi,INDIKATOR_EKONOMI,2025-03-05 08:00:00
perumnas baru bumi tanjung permai,PRODUK,Memiliki,luas bangunan 36 meter persegi,INDIKATOR_EKONOMI,2025-03-05 08:00:00
perumnas baru bumi tanjung permai,PRODUK,Memiliki,188 rumah tapak,PRODUK,2025-03-05 08:00:00
kabupaten bintan,WILAYAH,Mengumumkan,sistem informasi kumpulan pengembang,KONSEP,2025-03-05 08:00:00
perumnas baru bumi tanjung permai,PRODUK,Menghasilkan,harga per unit rp 124 juta,INSTRUMEN_FINANSIAL,2025-03-05 08:00:00
pt bank jago tbk,PERUSAHAAN,Mengumumkan,pertumbuhan transaksi investasi,KONSEP,2025-03-04 22:36:00
data center,SEKTOR,Menghasilkan,energi hijau,KONSEP,2025-03-04 22:31:00
kamar dagang dan industri indonesia,ORGANISASI,Mengumumkan,serangkaian roadshow,EVENT,2025-03-04 22:31:00
eramet,PERUSAHAAN,Mengumumkan,keinginan untuk berinvestasi lebih lanjut,KONSEP,2025-03-04 22:13:00
eramet,PERUSAHAAN,Menghasilkan,manfaat jangka panjang,KONSEP,2025-03-04 22:13:00
pemerintah,PEMERINTAHAN,BerdampakPositif,transformasi industri hijau indonesia,KONSEP,2025-03-04 22:13:00
eramet,PERUSAHAAN,BerinvestasiDi,sektor critical minerals,SEKTOR,2025-03-04 22:13:00
pemerintah,PEMERINTAHAN,Mengumumkan,tindak lanjut rencana investasi,KONSEP,2025-03-04 22:13:00
eramet,PERUSAHAAN,Mengumumkan,informasi mengenai ketersediaan bahan baku,KONSEP,2025-03-04 22:13:00
eramet,PERUSAHAAN,BerinvestasiDi,fasilitas produksi baterai kendaraan listrik,PRODUK,2025-03-04 22:13:00
eramet,PERUSAHAAN,Berpartisipasi,pengembangan ekosistem nikel,KONSEP,2025-03-04 22:13:00
pt elnusa tbk,PERUSAHAAN,Meningkatkan,kapasitas peralatan pendukung kegiatan eksplorasi,KONSEP,2025-03-04 21:42:00
prabowo subianto,ORANG,Mempengaruhi,kemandirian dan ketahanan energi nasional,KONSEP,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,Meningkatkan,kapasitas operasional,INDIKATOR_EKONOMI,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,BerinvestasiDi,new renewable energy,SEKTOR,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,BerdampakPositif,profitabilitas perusahaan,INDIKATOR_EKONOMI,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,BerinvestasiDi,jasa hulu migas,SEKTOR,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,BerinvestasiDi,jasa pendukung,SEKTOR,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,BerinvestasiDi,distribusi dan logistik energi,SEKTOR,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,BerinvestasiDi,tiga segmen bisnis utama,KONSEP,2025-03-04 21:42:00
pt elnusa tbk,PERUSAHAAN,Mengumumkan,rencana investasi strategis,KONSEP,2025-03-04 21:42:00
pt bank central asia tbk,PERUSAHAAN,Mengumumkan,pertumbuhan dana kelolaan investasi,INDIKATOR_EKONOMI,2025-03-04 20:56:00
bca,PERUSAHAAN,Mengendalikan,wealth management,KONSEP,2025-03-04 20:56:00
nasabah,ORANG,BerinvestasiDi,investment goals,KONSEP,2025-03-04 20:56:00
nasabah,ORANG,Meningkatkan,tujuan finansial,KONSEP,2025-03-04 20:56:00
thong guan industries bhd,PERUSAHAAN,BerinvestasiDi,kawasan industri terpadu,WILAYAH,2025-03-04 19:16:00
kjri penang,ORGANISASI,Berpartisipasi,thong guan industries bhd,PERUSAHAAN,2025-03-04 19:16:00
wanton saragih,ORANG,Mengumumkan,komitmen investasi,KONSEP,2025-03-04 19:16:00
dwi rahayu,ORANG,Mengaitkan,investasi pembangunan rest area di bandara yogyakarta international airport,PRODUK,2025-03-04 12:34:00
bank jateng,PERUSAHAAN,Mengumumkan,"kerugian capai rp 1,9 m",INDIKATOR_EKONOMI,2025-03-04 12:34:00
pariyono,ORANG,BerdampakNegatif,kerugian,KONSEP,2025-03-04 12:34:00
dwi rahayu,ORANG,Mengendalikan,uang,INSTRUMEN_FINANSIAL,2025-03-04 12:34:00
pendidikan,KONSEP,Meningkatkan,kualitas manusia indonesia,KONSEP,2025-03-04 05:46:00
danantara,PERUSAHAAN,BerdampakPositif,kemandirian fiskal,KONSEP,2025-03-03 13:57:00
respati ardi,ORANG,Mengumumkan,rencana investasi,KONSEP,2025-03-03 13:57:00
kota lubuk linggau,KOTA,BeroperasiDi,sumatera selatan,WILAYAH,2025-03-03 09:21:00
sistem informasi kumpulan pengembang (sikumbang),KONSEP,Mengaitkan,perumahan,PRODUK,2025-03-03 09:21:00
badan pengawasan perdagangan berjangka komoditi,BADAN_REGULATOR,Mengendalikan,platform aplikasi fahrenheit,PERUSAHAAN,2025-03-03 08:41:00
kejaksaan negeri jakarta barat,PEMERINTAHAN,Mengumumkan,tersangka azam akhmad akhsya,KONSEP,2025-03-03 08:41:00
vietnam,NEGARA,Mempengaruhi,perekonomian vietnam,KONSEP,2025-03-02 15:42:00
vietnam airlines,PERUSAHAAN,BerinvestasiDi,50 jet boeing 737 max,PRODUK,2025-03-02 15:42:00
vietnam,NEGARA,BerinvestasiDi,pesawat boeing,PRODUK,2025-03-02 15:42:00
perdana menteri vietnam pham minh chinh,ORANG,BerdampakPositif,pemberian lisensi bagi layanan internet satelit starlink,PRODUK,2025-03-02 15:42:00
perdana menteri vietnam pham minh chinh,ORANG,Mengumumkan,lisensi bagi layanan internet satelit starlink,PRODUK,2025-03-02 15:42:00
vietnam,NEGARA,Meningkatkan,impor berbagai produk,PRODUK,2025-03-02 15:42:00
otorita ibu kota nusantara,ORGANISASI,Mengumumkan,kesiapan ikn menjadi pusat pemerintahan dan ibu kota politik indonesia pada tahun 2028,KONSEP,2025-03-02 13:27:00
otorita ibu kota nusantara,ORGANISASI,Menghasilkan,fasilitas yudikatif dan legislatif,KONSEP,2025-03-02 13:27:00
pemerintah,PEMERINTAHAN,Mempengaruhi,pembangunan ikn,KONSEP,2025-03-02 13:27:00
pemerintah,PEMERINTAHAN,BerinvestasiDi,skema kerja sama pemerintah dengan badan usaha (kpbu) maupun investasi swasta murni,KONSEP,2025-03-02 13:27:00
danantara,PERUSAHAAN,BerinvestasiDi,proyek-proyek berkelanjutan,KONSEP,2025-03-02 12:02:00
danantara,PERUSAHAAN,Mengendalikan,pengelolaan dana,KONSEP,2025-03-02 12:02:00
danantara,PERUSAHAAN,BeroperasiDi,"energi terbarukan, manufaktur canggih, industri hilir, dan produksi pangan",SEKTOR,2025-03-02 12:02:00
badan pengelola investasi daya anagata nusantara,PERUSAHAAN,Meningkatkan,kualitas investasi,KONSEP,2025-03-02 12:02:00
badan pengelola investasi daya anagata nusantara,PERUSAHAAN,BerinvestasiDi,aset dari dividen bumn,INSTRUMEN_FINANSIAL,2025-03-02 12:02:00
badan pengelola investasi daya anagata nusantara,PERUSAHAAN,Mengumumkan,komitmennya untuk berinvestasi secara hati-hati,KONSEP,2025-03-02 12:02:00
badan pengelola investasi daya anagata nusantara,PERUSAHAAN,Berpartisipasi,pertumbuhan ekonomi nasional,INDIKATOR_EKONOMI,2025-03-02 12:02:00
reksadana syariah,PRODUK,BeroperasiDi,dana investor,KONSEP,2025-03-01 23:09:00
saham syariah,PRODUK,BerdampakPositif,profiltolio investor,KONSEP,2025-03-01 23:09:00
investasi syariah,KONSEP,Mempengaruhi,transaksi,KONSEP,2025-03-01 23:09:00
investasi syariah,KONSEP,Memiliki,prinsip islam,KONSEP,2025-03-01 23:09:00
badan pengelolaan investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,Mempengaruhi,kualitas investasi,KONSEP,2025-03-01 18:00:00
presiden prabowo subianto,ORANG,Mengumumkan,badan pengelola investasi daya anagata nusantara,BADAN_REGULATOR,2025-03-01 18:00:00
undang-undang bumn yang baru,KONSEP,Meningkatkan,pengawasan penugasan dan operasional korporasi,KONSEP,2025-03-01 18:00:00
komite investasi,KONSEP,Mengendalikan,investasi,KONSEP,2025-03-01 18:00:00
menteri badan usaha milik negara (bumn) erick thohir,ORANG,Mengumumkan,badan pengelolaan investasi daya anagata nusantara (bpi danantara),BADAN_REGULATOR,2025-03-01 18:00:00
ocean infinity,PERUSAHAAN,Mempengaruhi,pencarian mh370,KONSEP,2025-03-01 17:30:00
malaysia airlines mh370,PERUSAHAAN,BeroperasiDi,beijing,KOTA,2025-03-01 17:30:00
misi pencarian terbaru,KONSEP,Berpartisipasi,tim pencarian,KONSEP,2025-03-01 17:30:00
pemerintah malaysia,PEMERINTAHAN,Mengumumkan,keputusan kabinet,KONSEP,2025-03-01 17:30:00
ocean infinity,PERUSAHAAN,Memperkenalkan,teknologi pencarian yang lebih cepat dan lebih canggih,KONSEP,2025-03-01 17:30:00
ocean infinity,PERUSAHAAN,BerinvestasiDi,pencarian mh370,KONSEP,2025-03-01 17:30:00
badan pengelola investasi (bpi) daya anagata nusantara (danantara),BADAN_REGULATOR,Memperkenalkan,acara penting nasional,EVENT,2025-03-01 12:18:00
industri asuransi jiwa,SEKTOR,BerinvestasiDi,pasar modal,KONSEP,2025-03-01 11:00:00
industri asuransi jiwa,SEKTOR,Mempengaruhi,investasi di produk asuransi unitlink,KONSEP,2025-03-01 11:00:00
saham indonesia,INSTRUMEN_FINANSIAL,Mempengaruhi,pasar saham,KONSEP,2025-03-01 11:00:00
