entity_name,entity_id,relation,relation_id
kawasan industri terpadu,154,WILAYAH,11
pariyono,155,ORANG,1
bank jateng,156,PERUSAHAAN,0
biaya pendidikan,157,KONSEP,3
alokasi anggaran pendidikan,158,KONSEP,3
pendidikan,159,KONSEP,3
program makan bergizi gratis,160,KONSEP,3
anies baswedan,161,ORANG,1
respati ardi,162,ORANG,1
wali kota solo respati ardi,163,ORANG,1
perumahan ini,164,PRODUK,6
kota lubuk linggau,165,KOTA,5
chris ryan,166,ORANG,1
satgas waspada investasi,167,ORGANISASI,8
fahrenheit,168,KONSEP,3
badan pengawasan perdagangan,169,BADAN_REGULATOR,4
kejaksaan tinggi jakarta,170,PEMERINTAHAN,7
platform robot trading,171,PERUSAHAAN,0
azam akhmad akhsya,172,ORANG,1
kejaksaan negeri jakarta barat,173,BADAN_REGULATOR,4
batu bagirik residence,174,PRODUK,6
kabupaten solok,175,WILAYAH,11
diamers andalas prima,176,PERUSAHAAN,0
pilar wahana surya,177,PERUSAHAAN,0
kayu aro permai,178,PRODUK,6
graha indah asri,179,PERUSAHAAN,0
graha guguk buluh,180,PRODUK,6
vietnam,181,NEGARA,9
minh chinh,182,ORANG,1
pemerintah vietnam,183,PEMERINTAHAN,7
kementerian badan,184,PEMERINTAHAN,7
vietnam airlines,185,PERUSAHAAN,0
otorita ibu kota nusantara,186,PEMERINTAHAN,7
investasi syariah,187,KONSEP,3
sukuk,188,PRODUK,6
saham syariah,189,PRODUK,6
reksadana syariah,190,PRODUK,6
tujuh bumn,191,ORGANISASI,8
erick thohir,192,ORANG,1
komite investasi,193,KONSEP,3
undang-undang bumn yang baru,194,KONSEP,3
mind (mining industry,195,PERUSAHAAN,0
pemerintah malaysia,196,PEMERINTAHAN,7
malaysia,197,NEGARA,9
ocean infinity,198,PERUSAHAAN,0
malaysia airlines mh370,199,PERUSAHAAN,0
misi pencarian terbaru,200,KONSEP,3
puan maharani,201,ORANG,1
badan pengelola investasi (bpi) daya anagata nusantara (danantara),202,BADAN_REGULATOR,4
jokowi,203,ORANG,1
sby,204,ORANG,1
industri asuransi jiwa,205,SEKTOR,13
portofolio investasi,206,KONSEP,3
saham indonesia,207,INSTRUMEN_FINANSIAL,12
morgan stanley,208,PERUSAHAAN,0
produk asuransi,209,PRODUK,6
budi tampubolon,210,ORANG,1
asosiasi asuransi jiwa,211,ORGANISASI,8
jawa barat dedi,212,ORANG,1
jawa barat,213,WILAYAH,11
asosiasi pengusaha indonesia,214,ORGANISASI,8
industri kayu,215,SEKTOR,13
industri elektronik,216,SEKTOR,13
indeks kepercayaan industri (iki),217,INDIKATOR_EKONOMI,2
subsektor industri,218,SEKTOR,13
pemerintah daerah,219,PEMERINTAHAN,7
institute for development of economic and finance (indef),220,ORGANISASI,8
esther sri astuti,221,ORANG,1
john paulson,222,ORANG,1
stanley druckenmiller,223,ORANG,1
gold swap,224,PRODUK,6
masyarakat,225,ORANG,1
atmemas,226,PRODUK,6
sektor perbankan indonesia,227,SEKTOR,13
indo premier investment,228,PERUSAHAAN,0
meutya hafid,229,ORANG,1
ibm,230,PERUSAHAAN,0
kementerian komdigi,231,PEMERINTAHAN,7
mira tayyiba,232,ORANG,1
skema kpbu,233,KONSEP,3
ibu kota nusantara,234,WILAYAH,11
konsep kerja sama pemerintah dengan badan usaha (kpbu),235,KONSEP,3
skema kpbu sektor perumahan,236,KONSEP,3
deputi bidang pendanaan dan investasi otorita ikn agung wicaksono,237,ORANG,1
sarana multigriya finansial,238,PERUSAHAAN,0
emiten-emiten perbankan berkapitalisasi besar,239,PERUSAHAAN,0
investor pasar modal,240,ORANG,1
wawan hendrayana,241,ORANG,1
emiten-emiten perbankan,242,PERUSAHAAN,0
perang tarif,243,KONSEP,3
suku bunga,244,INSTRUMEN_FINANSIAL,12
kebijakan trump,245,KONSEP,3
investor asing,246,ORANG,1
oknum persit,247,ORGANISASI,8
para korban,248,ORANG,1
104 pensiunan,249,ORANG,1
fakta persidangan,250,EVENT,10
104 korban penipuan,251,ORANG,1
sanken indonesia,252,PERUSAHAAN,0
ahmad badawi,253,ORANG,1
ks kosasih,254,ORANG,1
visi,255,PERUSAHAAN,0
pintu,256,PERUSAHAAN,0
iskandar mohammad,257,ORANG,1
trader,258,ORANG,1
agus gumiwang kartasasmita,259,ORANG,1
temasek holdings,260,PERUSAHAAN,0
putra adhiguna,261,ORANG,1
bumn,262,ORGANISASI,8
todotua pasaribu,263,ORANG,1
vendor,264,PERUSAHAAN,0
jakarta,265,KOTA,5
indonesia green energy,266,EVENT,10
rosan roeslani,267,ORANG,1
rest area,268,PRODUK,6
"pensiunan tni, polri,",269,ORANG,1
surat keputusan (sk),270,PRODUK,6
investasi fiktif,271,KONSEP,3
pma,272,INDIKATOR_EKONOMI,2
realisasi investasi,273,INDIKATOR_EKONOMI,2
sub-sektor konstruksi,274,SEKTOR,13
pmdn,275,KONSEP,3
modal (bkpm),276,PEMERINTAHAN,7
investasi,277,KONSEP,3
konstruksi,278,SEKTOR,13
kasatreskrim polres purworejo,279,ORGANISASI,8
toduta pasaribu,280,ORANG,1
pertamina patra niaga,281,PERUSAHAAN,0
katalis sinergi indonesia,282,PERUSAHAAN,0
ict luxshare,283,PERUSAHAAN,0
pabrik,284,PERUSAHAAN,0
long harmony,285,PERUSAHAAN,0
joko widodo,286,ORANG,1
toyota,287,PERUSAHAAN,0
hashim djojohadikusumo,288,ORANG,1
presiden,289,PEMERINTAHAN,7
amdal,290,KONSEP,3
industri tekstil dan sepatu,291,SEKTOR,13
luhut binsar pandjaitan,292,ORANG,1
restoran kampung kecil,293,PERUSAHAAN,0
bsh community hub,294,KONSEP,3
karya bsh mandiri,295,PERUSAHAAN,0
hotel qubika,296,PERUSAHAAN,0
sektor pariwisata,297,SEKTOR,13
indonesia kubika nasional,298,PERUSAHAAN,0
geely,299,PERUSAHAAN,0
vinfast,300,PERUSAHAAN,0
pabrik geely,301,PERUSAHAAN,0
handal indonesia motor,302,PERUSAHAAN,0
subang,303,KOTA,5
sanny iskandar,304,ORANG,1
hasan nasbi,305,ORANG,1
investor asal qatar,306,ORGANISASI,8
investor dari qatar,307,ORGANISASI,8
uni emirat arab,308,NEGARA,9
badan usaha milik negara (bumn) mubadala investment company,309,BADAN_REGULATOR,4
bank indonesia (bi),310,BADAN_REGULATOR,4
menperin,311,PEMERINTAHAN,7
elizabeth hernandez,312,ORANG,1
setia diarta,313,ORANG,1
dan kebudayaan,314,PEMERINTAHAN,7
pratikno,315,ORANG,1
beasiswa,316,PRODUK,6
tantowi yahya,317,ORANG,1
proyek hunian,318,KONSEP,3
berkah bersinar abadi,319,PERUSAHAAN,0
brantas abipraya,320,PERUSAHAAN,0
balikpapan ready mix,321,PERUSAHAAN,0
badan usaha (kpbu),322,KONSEP,3
agung wicaksono,323,ORANG,1
sumber mitra jaya,324,PERUSAHAAN,0
hutama karya,325,PERUSAHAAN,0
jalan dan terowongan multi-sarana,326,KONSEP,3
nindya karya,327,PERUSAHAAN,0
ijm corporation berhad,328,PERUSAHAAN,0
adhi karya tbk,329,PERUSAHAAN,0
china harbour indonesia,330,PERUSAHAAN,0
akbar himawan buchari,331,ORANG,1
muliaman hadad,332,ORANG,1
pembangunan berkelanjutan,333,KONSEP,3
susilo bambang yudhoyono,334,ORANG,1
aplikasi byond by bsi,335,PRODUK,6
logam mulia antam,336,PRODUK,6
layanan cicil emas bsi,337,PRODUK,6
kepolisian resor kupang kota,338,BADAN_REGULATOR,4
yusak benu,339,ORANG,1
kantor kesyahbandaran dan otoritas pelabuhan (ksop) kelas iii kupang,340,BADAN_REGULATOR,4
dpc indonesia national shipowner's association (insa) kupang,341,ORGANISASI,8
dinas penanaman modal pelayanan terpadu satu pintu (dpmptsp),342,PEMERINTAHAN,7
pemerintah kota malang,343,PEMERINTAHAN,7
wakil wali kota cimahi,344,ORANG,1
premanisme,345,KONSEP,3
dana anagata nusantara,346,BADAN_REGULATOR,4
himpunan pengusaha muda,347,ORGANISASI,8
badan koordinasi penanaman modal,348,BADAN_REGULATOR,4
imigrasi bali,349,ORGANISASI,8
direktorat pengawasan penindakan,350,ORGANISASI,8
parlindungan,351,ORANG,1
kitb,352,PERUSAHAAN,0
kit batang,353,PERUSAHAAN,0
sri mulyani,354,ORANG,1
tony blair,355,ORANG,1
rosan p. roeslani,356,ORANG,1
presiden ri,357,PEMERINTAHAN,7
1malaysia development berhad,358,PERUSAHAAN,0
1mbd,359,PRODUK,6
low taek jho,360,ORANG,1
riza aziz,361,ORANG,1
najib razak,362,ORANG,1
pemerintahan presiden prabowo,363,PEMERINTAHAN,7
pln,364,PERUSAHAAN,0
fabby tumiwa,365,ORANG,1
kementerian luar negeri,366,PEMERINTAHAN,7
menlu sugiono,367,ORANG,1
swiss,368,NEGARA,9
paradise indonesia,369,PERUSAHAAN,0
antasari place,370,PRODUK,6
hotel hyatt place,371,PRODUK,6
23 paskal shopping center,372,PRODUK,6
indonesian paradise property tbk,373,PERUSAHAAN,0
saham telkom indonesia,374,PERUSAHAAN,0
bank rakyat indonesia,375,PERUSAHAAN,0
mirae asset,376,PERUSAHAAN,0
rully arya wisnubroto,377,ORANG,1
saham bank mandiri,378,PERUSAHAAN,0
undang-undang nomor 19 tahun 2003 tentang badan usaha milik negara (bumn),379,KONSEP,3
saham pt bank negara indonesia (persero) tbk (bbni),380,PERUSAHAAN,0
bank mandiri,381,PERUSAHAAN,0
mind id,382,PERUSAHAAN,0
pertamina,383,PERUSAHAAN,0
bank bri,384,PERUSAHAAN,0
telkom indonesia,385,PERUSAHAAN,0
bni,386,PERUSAHAAN,0
rosan,387,ORANG,1
bank mandiri tbk,388,PERUSAHAAN,0
telkom indonesia tbk,389,PERUSAHAAN,0
mining industry indonesia,390,PERUSAHAAN,0
bank rakyat indonesia tbk,391,PERUSAHAAN,0
indeks harga saham gabungan,392,INDIKATOR_EKONOMI,2
raja juli antoni,393,ORANG,1
lima perusahaan,394,PERUSAHAAN,0
pembangunan infrastruktur,395,KONSEP,3
investasi hilirisasi,396,PEMERINTAHAN,7
indonesia investment authority (ina),397,BADAN_REGULATOR,4
lembaga pengelola investasi,398,PERUSAHAAN,0
juru bicara kantor,399,ORGANISASI,8
bpi danantara,400,PERUSAHAAN,0
swf,401,KONSEP,3
donald trump,402,ORANG,1
amerika serikat,403,NEGARA,9
otoritas jasa keuangan,404,BADAN_REGULATOR,4
friderica widyasari dewi,405,ORANG,1
perry warjiyo,406,ORANG,1
maruarar sirait,407,ORANG,1
badan pengelolaan investasi (bpi) daya anagata nusantara (danantara),408,ORGANISASI,8
temasek holdings limited,409,PERUSAHAAN,0
muliaman darmansyah hadad,410,ORANG,1
tujuh badan usaha,411,ORGANISASI,8
seluruh rakyat indonesia,412,ORGANISASI,8
republika indonesia funding,413,PERUSAHAAN,0
nilai investasi,414,INDIKATOR_EKONOMI,2
pemerintahan,415,PEMERINTAHAN,7
ina,416,BADAN_REGULATOR,4
badan pengelolaan investasi,417,PERUSAHAAN,0
dpr ri,418,PEMERINTAHAN,7
komisi vi,419,ORGANISASI,8
komisi xi,420,ORGANISASI,8
proyek-proyek yang berkelanjutan dan berdampak tinggi,421,KONSEP,3
daya anagata nusantara,422,ORGANISASI,8
goto group,423,PERUSAHAAN,0
tencent cloud,424,PERUSAHAAN,0
sumber daya alam,425,KONSEP,3
berbagai proyek,426,KONSEP,3
republik indonesia prabowo,427,ORANG,1
kaesang pangarep,428,ORANG,1
pbnu,429,ORGANISASI,8
muhammadiyah,430,ORGANISASI,8
kajian awal,431,KONSEP,3
bank emas,432,PRODUK,6
instrumen investasi,433,KONSEP,3
reksa dana,434,PRODUK,6
obligasi,435,INSTRUMEN_FINANSIAL,12
deposito,436,INSTRUMEN_FINANSIAL,12
reksadana pasar uang,437,PRODUK,6
berkshire hathaway,438,PERUSAHAAN,0
warren buffett,439,ORANG,1
greg abel,440,ORANG,1
rizal taufikurahman,441,ORANG,1
aset jumbo,442,INSTRUMEN_FINANSIAL,12
perekonomian indonesia,443,KONSEP,3
dan teknologi,444,PEMERINTAHAN,7
brian yuliarto,445,ORANG,1
universitas dian nuswantoro,446,PERUSAHAAN,0
kementerian dan,447,PEMERINTAHAN,7
dirjen dikti,448,BADAN_REGULATOR,4
khairul munadi,449,ORANG,1
layanan keuangan,450,KONSEP,3
keuangan pribadi,451,KONSEP,3
perencanaan keuangan,452,KONSEP,3
manajemen keuangan,453,KONSEP,3
tabungan,454,INSTRUMEN_FINANSIAL,12
menabung,455,KONSEP,3
satuan tugas penanganan,456,ORGANISASI,8
investasi ilegal,457,KONSEP,3
media sosial,458,KONSEP,3
sektor petrokimia dan gas,459,SEKTOR,13
taufiek bawazier,460,ORANG,1
"industri kimia, farmasi,",461,SEKTOR,13
subsektor ikft,462,SEKTOR,13
dedi mulyadi,463,ORANG,1
negara,464,NEGARA,9
bareskrim polri,465,BADAN_REGULATOR,4
kejaksaan,466,BADAN_REGULATOR,4
pengadilan,467,ORGANISASI,8
tni,468,ORGANISASI,8
kalika regency,469,PRODUK,6
ndalem giripeni,470,PRODUK,6
baiti jannati ii,471,PRODUK,6
kabupaten kulon progo,472,KOTA,5
dewi sri sejati,473,PERUSAHAAN,0
kabupaten sleman,474,WILAYAH,11
godean jogja hills,475,PRODUK,6
properti indonesia,476,PERUSAHAAN,0
godean jogja hills tahap 2,477,PRODUK,6
griya moyudan asri,478,PRODUK,6
fitur investasi emas,479,PRODUK,6
super apps brimo,480,PRODUK,6
pertanian andi amran,481,ORANG,1
sudaryono,482,ORANG,1
investasi apple,483,INSTRUMEN_FINANSIAL,12
badan investasi daya,484,BADAN_REGULATOR,4
kompas.com,485,PERUSAHAAN,0
investasi keberlanjutan,486,KONSEP,3
cfo,487,ORANG,1
investasi lingkungan,488,KONSEP,3
australia,489,NEGARA,9
we don't have time,490,PERUSAHAAN,0
kearney,491,PERUSAHAAN,0
china,492,NEGARA,9
qatar,493,NEGARA,9
singapura,494,NEGARA,9
norwegia,495,NEGARA,9
lembaga penjamin simpanan,496,BADAN_REGULATOR,4
nusantara quarter,497,PRODUK,6
inti kolaborasi nusantara,498,PERUSAHAAN,0
intiland development tbk.,499,PERUSAHAAN,0
"program ""operasi jabar",500,KONSEP,3
oknum organisasi masyarakat,501,ORGANISASI,8
oknum ormas,502,ORGANISASI,8
komaruddin khalid,503,ORANG,1
standard chartered,504,PERUSAHAAN,0
donny donosepoetro,505,ORANG,1
pertumbuhan pendapatan korporasi,506,INDIKATOR_EKONOMI,2
ciop,507,KONSEP,3
bank sentral besar,508,ORGANISASI,8
kebijakan moneter,509,KONSEP,3
kebijakan fiskal,510,KONSEP,3
kota-kota,511,WILAYAH,11
cdp,512,ORGANISASI,8
negara-negara berkembang,513,NEGARA,9
daya mineral,514,PEMERINTAHAN,7
andi hanif,515,ORANG,1
dewan ekonomi nasional,516,ORGANISASI,8
perusahaan-perusahaan bumn,517,PERUSAHAAN,0
agusk gumiwang kartasasmita,518,ORANG,1
p roeslani,519,ORANG,1
pabrik airtag,520,PRODUK,6
pembangunan perumahan urban,521,PERUSAHAAN,0
urbantown serpong,522,PRODUK,6
tangerang selatan,523,KOTA,5
banten,524,WILAYAH,11
perumnas mahata serpong,525,PRODUK,6
dpr,526,PEMERINTAHAN,7
badan ini,527,BADAN_REGULATOR,4
pengambil kebijakan direksi,528,ORANG,1
badan pengelola investasi (bpi),529,BADAN_REGULATOR,4
winu adiarto,530,ORANG,1
amazon web services,531,PERUSAHAAN,0
aws,532,PERUSAHAAN,0
komunikasi digital,533,PEMERINTAHAN,7
pekerja migran,534,ORANG,1
kebijakan pemerintah baru as,535,KONSEP,3
persoalan ekonomi,536,KONSEP,3
mari elka pangestu,537,ORANG,1
hambatan investasi apple,538,KONSEP,3
penjualan iphone,539,PRODUK,6
ekspor buah apel asal as,540,PRODUK,6
ekspor buah apel,541,PRODUK,6
perusahaan-perusahaan as,542,PERUSAHAAN,0
sorotan,543,KONSEP,3
negosiasi investasi,544,KONSEP,3
produk terbarunya,545,PRODUK,6
realitas investasi,546,KONSEP,3
sneakers masih kondisi,547,PRODUK,6
sneakers,548,PRODUK,6
herdianto,549,ORANG,1
sneakers legendaris,550,PRODUK,6
jordan high,551,PRODUK,6
sneakers dalam kondisi bekas,552,PRODUK,6
sneakers langka,553,PRODUK,6
kelangkaan,554,KONSEP,3
warga,555,ORANG,1
polda jatim,556,PEMERINTAHAN,7
kabupaten kendal,557,WILAYAH,11
provinsi jawa tengah,558,WILAYAH,11
kawasan ekonomi khusus,559,KONSEP,3
kawasan industri kendal (kik),560,KONSEP,3
kek kendal,561,KONSEP,3
upbit indonesia,562,PERUSAHAAN,0
resna raniadi,563,ORANG,1
obligasi ritel indonesia (ori),564,PRODUK,6
ori027,565,PRODUK,6
nasabah bri prioritas,566,ORANG,1
peraturan,567,KONSEP,3
dana investasi,568,INSTRUMEN_FINANSIAL,12
"""UU No 19 Tahun 2003""",569,KONSEP,3
dana yang dikelola danantara,570,KONSEP,3
aset perusahaan listrik,571,PERUSAHAAN,0
aset yang dijaminkan,572,KONSEP,3
investasi baru ini,573,KONSEP,3
sembawang corporation,574,PERUSAHAAN,0
orang yang dikenal loyal,575,ORANG,1
korban,576,ORANG,1
arisan menurun,577,KONSEP,3
arisan,578,KONSEP,3
warga di kabupaten trenggalek,579,WILAYAH,11
gubernur aceh,580,PEMERINTAHAN,7
investor asal malaysia,581,ORGANISASI,8
aceh tamiang,582,KOTA,5
muzakkir manaf,583,ORANG,1
bank sentral indonesia,584,BADAN_REGULATOR,4
bank negara malaysia,585,BADAN_REGULATOR,4
bank of thailand,586,BADAN_REGULATOR,4
bank indonesia,587,BADAN_REGULATOR,4
thailand,588,NEGARA,9
polres trenggalek,589,ORGANISASI,8
trenggalek,590,KOTA,5
perusahaan listrik negara,591,PERUSAHAAN,0
bhima yudhistira,592,ORANG,1
bank muamalat indonesia tbk,593,PERUSAHAAN,0
solusi emas hijrah,594,PRODUK,6
logam mulia,595,PRODUK,6
produk solusi emas hijrah,596,PRODUK,6
antam,597,PERUSAHAAN,0
badan gizi nasional,598,BADAN_REGULATOR,4
dadan hindayana,599,ORANG,1
gibran rakabuming raka,600,ORANG,1
proyek perumahan pesona indah,601,PRODUK,6
haltim jaya mandiri,602,PERUSAHAAN,0
kabupaten halmahera timur,603,KOTA,5
charlotte zeno indonesia,604,PERUSAHAAN,0
korea selatan,605,NEGARA,9
perusahaan korsel lng,606,PERUSAHAAN,0
proyek energi terbarukan,607,KONSEP,3
kerja sama,608,KONSEP,3
kustodian sentral efek,609,BADAN_REGULATOR,4
calon investor,610,ORANG,1
midis,611,ORGANISASI,8
airlangga hartarto,612,ORANG,1
uni eropa,613,NEGARA,9
ieu-cepa,614,KONSEP,3
airlangga,615,ORANG,1
oknum tni al,616,ORGANISASI,8
pengadilan militer tinggi,617,BADAN_REGULATOR,4
warga kota batam,618,ORANG,1
tindak pidana penipuan,619,KONSEP,3
terdakwa,620,ORANG,1
hendri,621,ORANG,1
pemprov jabar,622,PEMERINTAHAN,7
jabar,623,WILAYAH,11
industri,624,SEKTOR,13
toleransi risiko,625,KONSEP,3
investor mendekati masa,626,KONSEP,3
investor yang lebih muda,627,KONSEP,3
portofolio yang lebih konservatif,628,KONSEP,3
wakil menteri investasi,629,KONSEP,3
bkpm,630,BADAN_REGULATOR,4
investasi rosan roeslani,631,PEMERINTAHAN,7
kepala otorita ikn,632,PEMERINTAHAN,7
insight investments management,633,PERUSAHAAN,0
fks food sejahtera,634,PERUSAHAAN,0
investor asal vietnam,635,ORANG,1
kementerian pertanian,636,PEMERINTAHAN,7
th group,637,PERUSAHAAN,0
presiden dan pemerintahan ini,638,PEMERINTAHAN,7
produsen pupuk di tanah air,639,SEKTOR,13
delta giri wacana tbk,640,PERUSAHAAN,0
rusia,641,NEGARA,9
belarusia,642,NEGARA,9
kanada,643,NEGARA,9
fertilizer inti technology,644,PERUSAHAAN,0
menteri investasi hilirisasi,645,PEMERINTAHAN,7
pertamina new renewable,646,PERUSAHAAN,0
flare gas to power,647,PRODUK,6
proyek ini,648,KONSEP,3
kilang pertamina internasional,649,PERUSAHAAN,0
proyek,650,KONSEP,3
ibu,651,ORANG,1
muh. ipul muslimin,652,ORANG,1
pegawai pegadaian,653,ORANG,1
danantara nusantara,654,BADAN_REGULATOR,4
badan pengelola (bp) daya anagata nusantara (danantara),655,ORGANISASI,8
praseto hadi,656,ORANG,1
inas,657,BADAN_REGULATOR,4
ormas,658,ORGANISASI,8
bey machmudin,659,ORANG,1
himpunan kawasan industri,660,ORGANISASI,8
pemerintah provinsi jawa barat,661,PEMERINTAHAN,7
abu dhabi future,662,PERUSAHAAN,0
investasi murni,663,KONSEP,3
otorita ibu kota,664,ORGANISASI,8
badan usaha swasta,665,PERUSAHAAN,0
jalan tol khusus,666,PRODUK,6
gubernur jabar ridwan kamil,667,ORANG,1
jalan tol khusus tambang,668,PRODUK,6
pemerintah kabupaten boyolali,669,PEMERINTAHAN,7
para pengusaha tambang,670,ORGANISASI,8
nguyen chi dung,671,ORANG,1
investment bibit,672,PERUSAHAAN,0
obligasi negara ritel,673,PRODUK,6
mitra distribusi,674,ORGANISASI,8
bibit,675,PERUSAHAAN,0
tni-polri,676,PEMERINTAHAN,7
badan perencanaan pembangunan,677,BADAN_REGULATOR,4
arsjad rasjid,678,ORANG,1
indonesian business council,679,ORGANISASI,8
bank indonesia jawa,680,ORGANISASI,8
muslimin anwar,681,ORANG,1
investasi di jawa barat,682,KONSEP,3
imam rachman,683,ORANG,1
